Group-Name,Group-ID,In/Out,Protocol,Port,Source/Destination
SG-Treadstone-DB,sg-00172d67
,,Inbound
,,,All,All,10.0.0.0/8
,,Outbound
,,,All,All,0.0.0.0/0
SG-TS-INT-ON-PREM,sg-00379879
,,Inbound
,,,tcp,4544,0.0.0.0/0
,,Outbound
,,,All,All,0.0.0.0/0
SG-PD-Edge25,sg-01141672e47b2f01d
,,Inbound
,,,tcp,25,0.0.0.0/0
,,,tcp,50636,10.0.0.0/8
,,Outbound
,,,All,All,0.0.0.0/0
SG-DV-MGMT-HTTPS-IN,sg-014efa4380868dac6
,,Inbound
,,,tcp,443,10.0.0.0/8
,,Outbound
,,,All,All,0.0.0.0/0
TaniumProd-TaniumZoneServerSG-1T40QK6RNLCNS-SecurityGroup-WV615U3KKY5B,sg-01531dd14333ccda1
,,Inbound
,,,tcp,17472,0.0.0.0/0
,,,tcp,17444,0.0.0.0/0
,,,tcp,17449,sg-0f321993690156a5d
,,Outbound
,,,All,All,0.0.0.0/0
default,sg-019f64bcccb82acae
,,Inbound
,,,All,All,sg-019f64bcccb82acae
,,Outbound
,,,All,All,0.0.0.0/0
FlexeraFlexNetPublisherSG,sg-01a127f4f09e7bd1a
,,Inbound
,,,tcp,27009,10.0.0.0/8
,,,tcp,8090,10.0.0.0/8
,,Outbound
,,,All,All,0.0.0.0/0
SG-SS-WEB,sg-01ab417b
,,Inbound
,,,tcp,3443,10.0.0.0/8
,,,tcp,80,10.0.0.0/8
,,,tcp,443,10.0.0.0/8
,,Outbound
,,,All,All,0.0.0.0/0
CloudEndure Machine Converter,sg-01e1e4e05785e22b0
,,Inbound
,,Outbound
,,,tcp,80,0.0.0.0/0
,,,udp,53,0.0.0.0/0
,,,tcp,443,0.0.0.0/0
dev-jde,sg-0212b965
,,Inbound
,,,All,All,10.0.0.0/8
,,Outbound
,,,All,All,0.0.0.0/0
TaniumProd-TaniumZoneServerSG-1T40QK6RNLCNS-SecurityGroup-WV615U3KKY5B,sg-022d79cf4e6446966
,,Inbound
,,,tcp,17472,0.0.0.0/0
