InstanceId,Name,Schedule,FileBackup,ApplicationTier,Environment,Application,ContactPreference,Purpose,Validated,TechnicalOwner,CorpInfoMSP:TakeNightlySnapshot
i-0e0ba7ca2f42bfca9 (IRVLBLCAR01-OQ),IRVLBLCAR01-OQ,?,No,,OperationalQualification,SDL Collaborative Review,Email,?,No,Trevor Britton,Yes
i-010133531ca571af8 (IRVLBLCAR01-PD),IRVLBLCAR01-PD,?,No,,Production,SDL Collaborative Review,Email,?,No,Trevor Britton,Yes
i-cdac6792 (IRVLBLCMS02),IRVLBLCMS02,?,Yes,Application,Production,Labeling CMS,Email,?,No,Trevor Britton,Yes
i-0e773d0fbba917e97 (IRVLBLSDL01-DV),IRVLBLSDL01-DV,?,No,Application,Development,SDL Knowledge Center,Email,?,No,Trevor Britton,Yes
i-08eef0eb86cafe52f (IRVLBLSDL01-OQ),IRVLBLSDL01-OQ,?,No,Application,OperationalQualification,SDL Knowledge Center,Email,?,No,Trevor Britton,Yes
i-04d4ffd9b38073763 (IRVLBLSDL01-PD),IRVLBLSDL01-PD,?,No,,Production,SDL Knowledge Center,Email,?,No,Trevor Britton,Yes
i-0155f5f1efd9dcab1 (IRVLBLSDLBA-DV),IRVLBLSDLBA-DV,?,No,Application,Development,SDL Knowledge Center â€“ Batch Server,Email,?,No,Trevor Britton,Yes
i-037ed8c6a000bf975 (IRVLBLSDLBA-OQ),IRVLBLSDLBA-OQ,?,No,Application,OperationalQualification,SDL Knowledge Center â€“ Batch Server,Email,?,No,Trevor Britton,Yes
i-017cd8b52c397b28f (IRVLBLSDLBA-PD),IRVLBLSDLBA-PD,?,No,,Production,SDL Knowledge Center â€“ Batch Server,Email,?,No,Trevor Britton,Yes
i-59a36806 (IRVLBLSPC01),IRVLBLSPC01,?,Yes,Application,Production,Pragmatyxs,Email,?,No,Trevor Britton,Yes
i-ad50c639 (IrvSDLAPP01),IrvSDLAPP01,?,No,Application,Development,Labeling CMS,Email,?,No,Trevor Britton,No
i-4a50c6de (IRVLBLCMS01),IRVLBLCMS01,?,No,Application,Development,Labeling CMS,Email,?,No,Trevor Britton | Ryo Miyaki,No
i-1550c681 (IRVLBLCMS02-oq),IRVLBLCMS02-oq,?,No,Application,OperationalQualification,Labeling CMS,Email,?,No,Trevor Britton | Ryo Miyaki,No
i-2ca36873 (IRVLBLFIL01),IRVLBLFIL01,?,Yes,Application,Production,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki,Yes
i-8751c713 (IRVLBLFIL02),IRVLBLFIL02,?,No,Application,Development,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki,No
i-c18c1055 (IRVLBLFIL03),IRVLBLFIL03,?,No,Application,Production,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki,Yes
i-80ac67df (IRVLBLLFT01),IRVLBLLFT01,?,Yes,Application,Production,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki,Yes
i-8151c715 (IRVLBLLFT02),IRVLBLLFT02,?,No,Application,Development,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki,No
i-9051c704 (IRVLBLLFT03),IRVLBLLFT03,?,No,Application,Development,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki,No
i-2d1e88b9 (IRVLBLPRG02),IRVLBLPRG02,?,No,Application,Development,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki,No
i-8251c716 (IRVLBLSPC01-oq),IRVLBLSPC01-oq,?,No,Application,OperationalQualification,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki,No
i-4950c6dd (IRVLBLSPC02-oq),IRVLBLSPC02-oq,?,No,Application,OperationalQualification,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki,No
i-50a2690f (IRVLBLPRG01),IRVLBLPRG01,?,Yes,Application,Production,Pragmatyxs,Email,?,No,Trevor Britton | Ryo Miyaki | Usama Muzaffar,Yes
i-0c4fccdfcfc9d4d8e (IrvHVTR01),IrvHVTR01,?,No,Application,Test,Qlik NPrinting,Email,?,No,Trina Patel,Yes
i-391ffbe2 (AWOR-DVWPLAPP01),AWOR-DVWPLAPP01,?,No,Application,Development,WIP Labeling,Email,?,No,Usama Muzaffar,No
i-b91bff62 (AWOR-PDWPLAPP01),AWOR-PDWPLAPP01,?,No,Application,Production,WIP Labeling,Email,?,No,Usama Muzaffar,Yes
i-67350cf2 (AWOR-TSWPLAPP01),AWOR-TSWPLAPP01,?,No,Application,Test,WIP Labeling,Email,?,No,Usama Muzaffar,No
